"Local Government Area data:
Local Government areas range in population size between 100 to 1 million people. LGAs often have varying age and other demographic profiles affecting their coverage rates. LGA population estimates are taken from the latest ABS LGA by age release. 
Note on areas with large remote and very remote populations:
The  process of geocoding addresses in very remote areas and remote areas can lead to artificially low vaccine dose count records in those areas (as addresses cannot be ‘pinpointed’ to a specific client location, and therefore LGA). For vaccine rates relevant to these areas, please consult the weekly SA4 data release from Operation COVIDShield.  SA4 data is generally of larger population regions, so undercounting of doses has less impact on overall coverage rates. 
Methodology underpinning LGA Remoteness classification: 
LGA ‘remoteness’ is calculated by a assigning a modal remoteness value for each LGA, based on where the majority of the population in each LGA live - using 2016 Census meshblock population counts. Remote and Very Remote classifications accord with the same values if using the Modified Monash Model of remoteness.
* Indicates LGAs with apparent data issues resulting in coverage rates that may not be representative and should be treated with caution. ",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Data extracted from AIR - as at 2359hrs on 05 December 2021,,,,,
LGA 2019 Name of Residence,State of Residence,Remoteness,% Received dose 1,% Received dose 2,LGA Population
Waverley (A),New South Wales,Major Cities of Australia,86.6%,85.0%," 62,490 "
Weddin (A),New South Wales,Outer Regional Australia,>95%,>95%," 3,030 "
Wentworth (A),New South Wales,Outer Regional Australia,>95%,91.3%," 5,625 "
Willoughby (C),New South Wales,Major Cities of Australia,92.5%,91.4%," 65,599 "
Wingecarribee (A),New South Wales,Inner Regional Australia,>95%,>95%," 42,191 "
Wollondilly (A),New South Wales,Inner Regional Australia,>95%,94.3%," 41,492 "
Wollongong (C),New South Wales,Major Cities of Australia,92.6%,91.1%," 179,317 "
Woollahra (A),New South Wales,Major Cities of Australia,90.4%,89.2%," 50,326 "
Yass Valley (A),New South Wales,Inner Regional Australia,>95%,>95%," 13,497 "
Unincorporated NSW,New South Wales,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 801 
Alpine (S),Victoria,Inner Regional Australia,>95%,>95%," 10,732 "
Ararat (RC),Victoria,Inner Regional Australia,>95%,94.9%," 9,944 "
Ballarat (C),Victoria,Inner Regional Australia,>95%,>95%," 88,323 "
Banyule (C),Victoria,Major Cities of Australia,94.2%,92.6%," 107,523 "
